# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2026vbs
# CHANNEL = B+R
# EXPNUM = 26_204_027_003
# MJD-OBS = 61244.437541
# DATE-OBS = 2026-07-23T10:30:04
# EXPTIME = 1500.0s
# AIRMASS = 1.74
# FLUXCAL_RMS_B = 0.063 mag
# FLUXCAL_RMS_R = 0.071 mag
# RA = 19:21:54.58
# DEC = -34:03:08.56
# wl fl err
# [A] [erg/s/cm2/A]
3802.480000 1.425144e-16 1.340672e-17
3805.480000 1.276664e-16 1.456006e-17
3808.480000 1.102051e-16 1.407106e-17
3811.480000 9.909214e-17 1.261501e-17
3814.480000 1.028544e-16 1.333535e-17
3817.480000 1.069400e-16 1.422773e-17
3820.480000 1.016030e-16 1.347206e-17
3823.480000 9.566381e-17 1.234243e-17
3826.480000 1.113180e-16 1.326342e-17
3829.480000 7.594795e-17 1.364572e-17
3832.480000 6.990640e-17 1.250889e-17
3835.480000 9.262598e-17 1.203117e-17
3838.480000 7.698284e-17 1.308203e-17
3841.480000 9.819580e-17 1.345101e-17
3844.480000 7.142974e-17 1.218552e-17
3847.480000 4.994163e-17 1.172288e-17
3850.480000 3.046477e-17 1.316619e-17
3853.480000 6.319035e-17 1.337449e-17
3856.480000 7.275317e-17 1.158687e-17
3859.480000 5.844118e-17 1.156146e-17
3862.480000 6.341858e-17 1.298092e-17
3865.480000 4.300123e-17 1.275343e-17
3868.480000 3.765147e-17 1.128120e-17
3871.480000 3.462726e-17 1.152908e-17
3874.480000 3.280120e-17 1.270941e-17
3877.480000 5.470185e-17 1.238612e-17
3880.480000 6.192500e-17 1.129491e-17
3883.480000 5.256230e-17 1.178074e-17
3886.480000 4.688180e-17 1.277701e-17
3889.480000 3.988686e-17 1.208743e-17
3892.480000 4.879239e-17 1.130442e-17
3895.480000 4.807245e-17 1.243892e-17
3898.480000 3.700205e-17 1.314632e-17
3901.480000 2.745216e-17 1.219739e-17
3904.480000 3.796327e-17 1.160552e-17
3907.480000 4.282076e-17 1.279674e-17
3910.480000 4.147478e-17 1.326485e-17
3913.480000 5.056894e-17 1.220743e-17
3916.480000 6.342591e-17 1.191098e-17
3919.480000 6.403339e-17 1.327711e-17
3922.480000 7.604405e-17 1.334511e-17
3925.480000 8.659212e-17 1.179510e-17
3928.480000 8.700272e-17 1.159664e-17
3931.480000 7.497600e-17 1.285968e-17
3934.480000 8.676808e-17 1.269803e-17
3937.480000 8.571699e-17 1.118047e-17
3940.480000 7.568512e-17 1.137188e-17
3943.480000 8.561066e-17 1.289774e-17
3946.480000 9.979869e-17 1.283210e-17
3949.480000 1.091217e-16 1.166605e-17
3952.480000 1.149809e-16 1.232602e-17
3955.480000 1.132221e-16 1.360942e-17
3958.480000 1.228670e-16 1.305072e-17
3961.480000 1.288134e-16 1.185318e-17
3964.480000 1.252094e-16 1.269117e-17
3967.480000 1.593838e-16 1.347400e-17
3970.480000 1.444871e-16 1.245729e-17
3973.480000 1.326379e-16 1.157898e-17
3976.480000 1.388863e-16 1.301553e-17
3979.480000 1.604589e-16 1.369840e-17
3982.480000 1.535105e-16 1.253176e-17
3985.480000 1.533284e-16 1.217594e-17
3988.480000 1.565401e-16 1.363743e-17
3991.480000 1.533648e-16 1.383470e-17
3994.480000 1.726322e-16 1.252248e-17
3997.480000 1.519639e-16 1.235899e-17
4000.480000 1.548646e-16 1.414744e-17
4003.480000 1.785784e-16 1.441735e-17
4006.480000 1.600047e-16 1.272058e-17
4009.480000 1.404861e-16 1.302157e-17
4012.480000 1.455663e-16 1.488896e-17
4015.480000 1.803238e-16 1.503600e-17
4018.480000 2.036913e-16 1.364696e-17
4021.480000 2.393299e-16 1.446011e-17
4024.480000 2.282161e-16 1.567155e-17
4027.480000 2.327261e-16 1.493729e-17
4030.480000 2.396781e-16 1.348594e-17
4033.480000 2.495488e-16 1.432965e-17
4036.480000 2.453704e-16 1.508236e-17
4039.480000 2.562934e-16 1.400896e-17
4042.480000 2.639105e-16 1.294406e-17
4045.480000 2.636500e-16 1.413694e-17
4048.480000 2.932759e-16 1.482494e-17
4051.480000 2.859971e-16 1.344195e-17
4054.480000 3.110966e-16 1.301374e-17
4057.480000 3.071565e-16 1.434397e-17
4060.480000 2.968139e-16 1.457117e-17
4063.480000 3.118827e-16 1.325523e-17
4066.480000 3.132143e-16 1.296859e-17
4069.480000 3.103670e-16 1.479190e-17
4072.480000 3.237630e-16 1.501805e-17
4075.480000 3.247511e-16 1.313668e-17
4078.480000 3.486898e-16 1.339774e-17
4081.480000 3.803121e-16 1.515094e-17
4084.480000 3.544673e-16 1.473859e-17
4087.480000 3.430815e-16 1.305521e-17
4090.480000 3.370917e-16 1.366326e-17
4093.480000 3.586888e-16 1.518961e-17
4096.480000 3.529052e-16 1.462901e-17
4099.480000 3.334193e-16 1.317493e-17
4102.480000 3.277978e-16 1.386332e-17
4105.480000 3.269421e-16 1.485523e-17
4108.480000 3.332649e-16 1.414337e-17
4111.480000 3.269826e-16 1.328195e-17
4114.480000 3.471041e-16 1.489577e-17
4117.480000 3.410087e-16 1.564800e-17
4120.480000 3.336913e-16 1.468767e-17
4123.480000 3.235727e-16 1.390248e-17
4126.480000 3.341435e-16 1.561384e-17
4129.480000 3.147700e-16 1.603357e-17
4132.480000 3.244812e-16 1.395879e-17
4135.480000 3.439771e-16 1.364827e-17
4138.480000 3.615690e-16 1.547522e-17
4141.480000 3.323104e-16 1.530144e-17
4144.480000 3.350631e-16 1.328734e-17
4147.480000 3.218939e-16 1.317800e-17
4150.480000 2.881923e-16 1.464491e-17
4153.480000 2.934893e-16 1.445465e-17
4156.480000 2.916543e-16 1.272090e-17
4159.480000 2.995731e-16 1.309826e-17
4162.480000 2.952635e-16 1.444969e-17
4165.480000 2.762778e-16 1.386715e-17
4168.480000 2.831721e-16 1.252940e-17
4171.480000 3.054067e-16 1.349528e-17
4174.480000 2.934024e-16 1.455684e-17
4177.480000 2.979205e-16 1.374749e-17
4180.480000 3.035527e-16 1.253654e-17
4183.480000 2.918617e-16 1.353493e-17
4186.480000 3.085081e-16 1.427529e-17
4189.480000 3.069041e-16 1.326303e-17
4192.480000 2.837628e-16 1.241479e-17
4195.480000 2.823463e-16 1.368314e-17
4198.480000 2.981290e-16 1.414314e-17
4201.480000 3.144050e-16 1.282194e-17
4204.480000 3.185055e-16 1.249977e-17
4207.480000 3.020049e-16 1.409239e-17
4210.480000 3.009136e-16 1.433327e-17
4213.480000 3.087339e-16 1.269569e-17
4216.480000 3.228132e-16 1.281587e-17
4219.480000 3.358337e-16 1.446298e-17
4222.480000 3.540984e-16 1.440091e-17
4225.480000 3.715993e-16 1.288617e-17
4228.480000 3.756732e-16 1.335917e-17
4231.480000 3.797183e-16 1.482977e-17
4234.480000 3.844988e-16 1.448583e-17
4237.480000 3.919485e-16 1.298501e-17
4240.480000 4.013518e-16 1.357550e-17
4243.480000 4.041838e-16 1.477123e-17
4246.480000 4.044806e-16 1.397994e-17
4249.480000 4.136161e-16 1.296705e-17
4252.480000 4.016251e-16 1.398556e-17
4255.480000 4.272033e-16 1.488400e-17
4258.480000 4.321113e-16 1.392961e-17
4261.480000 4.312558e-16 1.313644e-17
4264.480000 4.407442e-16 1.450987e-17
4267.480000 4.468079e-16 1.494402e-17
4270.480000 4.514195e-16 1.367444e-17
4273.480000 4.531278e-16 1.325799e-17
4276.480000 4.360448e-16 1.477137e-17
4279.480000 4.072152e-16 1.495062e-17
4282.480000 4.204360e-16 1.342054e-17
4285.480000 4.336358e-16 1.341678e-17
4288.480000 4.458074e-16 1.534358e-17
4291.480000 4.431243e-16 1.537004e-17
4294.480000 4.315662e-16 1.334003e-17
4297.480000 4.529962e-16 1.373155e-17
4300.480000 4.537251e-16 1.521935e-17
4303.480000 4.461525e-16 1.470573e-17
4306.480000 4.461303e-16 1.305478e-17
4309.480000 4.452949e-16 1.348575e-17
4312.480000 4.356947e-16 1.472113e-17
4315.480000 4.158744e-16 1.395091e-17
4318.480000 4.142617e-16 1.287368e-17
4321.480000 4.456913e-16 1.412487e-17
4324.480000 4.471612e-16 1.500314e-17
4327.480000 4.321701e-16 1.384811e-17
4330.480000 4.106037e-16 1.282178e-17
4333.480000 4.208643e-16 1.420279e-17
4336.480000 4.315038e-16 1.485910e-17
4339.480000 4.169101e-16 1.344306e-17
4342.480000 4.132059e-16 1.286395e-17
4345.480000 4.095588e-16 1.441616e-17
4348.480000 3.816878e-16 1.459573e-17
4351.480000 3.620604e-16 1.295326e-17
4354.480000 3.899074e-16 1.297697e-17
4357.480000 4.047042e-16 1.479060e-17
4360.480000 3.738229e-16 1.464192e-17
4363.480000 3.868735e-16 1.284822e-17
4366.480000 3.780524e-16 1.304071e-17
4369.480000 3.496167e-16 1.438124e-17
4372.480000 3.856612e-16 1.426044e-17
4375.480000 3.788215e-16 1.276334e-17
4378.480000 3.720018e-16 1.325176e-17
4381.480000 3.518230e-16 1.439858e-17
4384.480000 3.555667e-16 1.377959e-17
4387.480000 3.679223e-16 1.251918e-17
4390.480000 3.719139e-16 1.343806e-17
4393.480000 3.653842e-16 1.428947e-17
4396.480000 3.571369e-16 1.340977e-17
4399.480000 3.497773e-16 1.243155e-17
4402.480000 3.375826e-16 1.355775e-17
4405.480000 3.369694e-16 1.417358e-17
4408.480000 3.489357e-16 1.308790e-17
4411.480000 3.458575e-16 1.262741e-17
4414.480000 3.171715e-16 1.390105e-17
4417.480000 3.068743e-16 1.419477e-17
4420.480000 3.025842e-16 1.273104e-17
4423.480000 3.026599e-16 1.262682e-17
4426.480000 3.070969e-16 1.443788e-17
4429.480000 3.239697e-16 1.451507e-17
4432.480000 3.208800e-16 1.271774e-17
4435.480000 3.200974e-16 1.272458e-17
4438.480000 2.830319e-16 1.402683e-17
4441.480000 2.724819e-16 1.371113e-17
4444.480000 2.807270e-16 1.220544e-17
4447.480000 2.598080e-16 1.254616e-17
4450.480000 2.457275e-16 1.361657e-17
4453.480000 2.575587e-16 1.307086e-17
4456.480000 2.414513e-16 1.175058e-17
4459.480000 2.304067e-16 1.241294e-17
4462.480000 2.318766e-16 1.325107e-17
4465.480000 2.185033e-16 1.247154e-17
4468.480000 2.270092e-16 1.167023e-17
4471.480000 2.337200e-16 1.268172e-17
4474.480000 2.280051e-16 1.329561e-17
4477.480000 2.124207e-16 1.221298e-17
4480.480000 2.107656e-16 1.167498e-17
4483.480000 2.141898e-16 1.300226e-17
4486.480000 2.194649e-16 1.327030e-17
4489.480000 2.248379e-16 1.205983e-17
4492.480000 2.061800e-16 1.171126e-17
4495.480000 1.793986e-16 1.308960e-17
4498.480000 2.088080e-16 1.335203e-17
4501.480000 2.073922e-16 1.175016e-17
4504.480000 1.960249e-16 1.177759e-17
4507.480000 2.102797e-16 1.349325e-17
4510.480000 2.213897e-16 1.333940e-17
4513.480000 2.298825e-16 1.183994e-17
4516.480000 2.338526e-16 1.222636e-17
4519.480000 2.246560e-16 1.341451e-17
4522.480000 2.130410e-16 1.291555e-17
4525.480000 2.205474e-16 1.173029e-17
4528.480000 2.423613e-16 1.248653e-17
4531.480000 2.286844e-16 1.330817e-17
4534.480000 2.300739e-16 1.264710e-17
4537.480000 2.260267e-16 1.172148e-17
4540.480000 2.303443e-16 1.283226e-17
4543.480000 2.314813e-16 1.347207e-17
4546.480000 2.366870e-16 1.245722e-17
4549.480000 2.452079e-16 1.190028e-17
4552.480000 2.477202e-16 1.321508e-17
4555.480000 2.548905e-16 1.362295e-17
4558.480000 2.632361e-16 1.228853e-17
4561.480000 2.599985e-16 1.207165e-17
4564.480000 2.525040e-16 1.364142e-17
4567.480000 2.617567e-16 1.376355e-17
4570.480000 2.431141e-16 1.205556e-17
4573.480000 2.522267e-16 1.214431e-17
4576.480000 2.658065e-16 1.379939e-17
4579.480000 2.596309e-16 1.363844e-17
4582.480000 2.583125e-16 1.200221e-17
4585.480000 2.675048e-16 1.239317e-17
4588.480000 2.788093e-16 1.373091e-17
4591.480000 2.832320e-16 1.332135e-17
4594.480000 2.839527e-16 1.202979e-17
4597.480000 2.651964e-16 1.255172e-17
4600.480000 2.540854e-16 1.349523e-17
4603.480000 2.748081e-16 1.289616e-17
4606.480000 2.925907e-16 1.200191e-17
4609.480000 2.804980e-16 1.295101e-17
4612.480000 2.711057e-16 1.380140e-17
4615.480000 2.626902e-16 1.265674e-17
4618.480000 2.815539e-16 1.201845e-17
4621.480000 2.827280e-16 1.322553e-17
4624.480000 2.782803e-16 1.367186e-17
4627.480000 2.597654e-16 1.235107e-17
4630.480000 2.412308e-16 1.185197e-17
4633.480000 2.225769e-16 1.338849e-17
4636.480000 2.324821e-16 1.361977e-17
4639.480000 2.497406e-16 1.204551e-17
4642.480000 2.417802e-16 1.196688e-17
4645.480000 2.800228e-16 1.380369e-17
4648.480000 2.527966e-16 1.352025e-17
4651.480000 2.514942e-16 1.191398e-17
4654.480000 2.699664e-16 1.224291e-17
4657.480000 2.715652e-16 1.353738e-17
4660.480000 2.743132e-16 1.337226e-17
4663.480000 2.628384e-16 1.197893e-17
4666.480000 2.544545e-16 1.246977e-17
4669.480000 2.470504e-16 1.346767e-17
4672.480000 2.452741e-16 1.276223e-17
4675.480000 2.747012e-16 1.186599e-17
4678.480000 2.684469e-16 1.274230e-17
4681.480000 2.635777e-16 1.359830e-17
4684.480000 2.665805e-16 1.269654e-17
4687.480000 2.701950e-16 1.199634e-17
4690.480000 2.984324e-16 1.342956e-17
4693.480000 3.096577e-16 1.389931e-17
4696.480000 3.025033e-16 1.265099e-17
4699.480000 3.007392e-16 1.212869e-17
4702.480000 3.166602e-16 1.372392e-17
4705.480000 3.395486e-16 1.410128e-17
4708.480000 3.134209e-16 1.247323e-17
4711.480000 3.021366e-16 1.237760e-17
4714.480000 3.417251e-16 1.436664e-17
4717.480000 3.615979e-16 1.439079e-17
4720.480000 3.416837e-16 1.249138e-17
4723.480000 3.276356e-16 1.265727e-17
4726.480000 3.347051e-16 1.406939e-17
4729.480000 3.365964e-16 1.385846e-17
4732.480000 3.297996e-16 1.237989e-17
4735.480000 3.117025e-16 1.274749e-17
4738.480000 3.401780e-16 1.411723e-17
4741.480000 3.682816e-16 1.366403e-17
4744.480000 3.675634e-16 1.250060e-17
4747.480000 3.529686e-16 1.327702e-17
4750.480000 3.438493e-16 1.407511e-17
4753.480000 3.347724e-16 1.310007e-17
4756.480000 3.437147e-16 1.237406e-17
4759.480000 3.420344e-16 1.367307e-17
4762.480000 3.355191e-16 1.408995e-17
4765.480000 3.348310e-16 1.292474e-17
4768.480000 3.396316e-16 1.236053e-17
4771.480000 3.271752e-16 1.383974e-17
4774.480000 3.196248e-16 1.413688e-17
4777.480000 3.262320e-16 1.278077e-17
4780.480000 3.474145e-16 1.272219e-17
4783.480000 3.509118e-16 1.444033e-17
4786.480000 3.317689e-16 1.434022e-17
4789.480000 3.334344e-16 1.258562e-17
4792.480000 3.348967e-16 1.285128e-17
4795.480000 3.119380e-16 1.424715e-17
4798.480000 3.240086e-16 1.401478e-17
4801.480000 3.527422e-16 1.268088e-17
4804.480000 3.595344e-16 1.321551e-17
4807.480000 3.418332e-16 1.432884e-17
4810.480000 3.368816e-16 1.375932e-17
4813.480000 3.249001e-16 1.255077e-17
4816.480000 3.248907e-16 1.342020e-17
4819.480000 3.363757e-16 1.448524e-17
4822.480000 3.345101e-16 1.369482e-17
4825.480000 3.275893e-16 1.270328e-17
4828.480000 3.120084e-16 1.370526e-17
4831.480000 3.193537e-16 1.451803e-17
4834.480000 3.210368e-16 1.344111e-17
4837.480000 3.224098e-16 1.291264e-17
4840.480000 3.085257e-16 1.434904e-17
4843.480000 2.870797e-16 1.452029e-17
