370.00,0.38479
377.82,0.59017
385.63,0.68883
393.45,0.75210
401.26,0.79377
409.08,0.81759
416.89,0.83627
424.71,0.85032
432.52,0.86153
440.34,0.87120
448.15,0.87964
455.97,0.88799
463.78,0.89587
471.60,0.90324
479.41,0.91042
487.23,0.91740
495.04,0.92416
502.86,0.93044
510.67,0.93605
518.49,0.94141
526.30,0.94652
534.12,0.95139
541.93,0.95601
549.75,0.96000
557.56,0.96333
565.38,0.96644
573.19,0.96931
581.01,0.97190
588.82,0.97384
596.64,0.97558
604.45,0.97712
612.27,0.97847
620.08,0.97965
627.90,0.98091
635.71,0.98201
643.53,0.98295
651.34,0.98376
659.16,0.98443
666.97,0.98524
674.79,0.98596
682.61,0.98657
690.42,0.98708
698.24,0.98749
706.05,0.98758
713.87,0.98751
721.68,0.98737
729.50,0.98715
737.31,0.98687
745.13,0.98653
752.94,0.98612
760.76,0.98567
768.57,0.98517
776.39,0.98462
784.20,0.98403
792.02,0.98340
799.83,0.98274
807.65,0.98205
815.46,0.98133
823.28,0.98059
831.09,0.97982
838.91,0.97903
846.72,0.97822
854.54,0.97740
862.35,0.97656
870.17,0.97571
877.98,0.97485
885.80,0.97399
893.61,0.97311
901.43,0.97223
909.24,0.97134
917.06,0.97045
924.87,0.96956
932.69,0.96866
940.50,0.96777
948.32,0.96687
956.13,0.96598
963.95,0.96509
971.76,0.96420
979.58,0.96331
987.40,0.96243
995.21,0.96155
1003.03,0.96068
1010.84,0.95981
1018.66,0.95894
1026.47,0.95809
1034.29,0.95724
1042.10,0.95639
1049.92,0.95555
1057.73,0.95472
1065.55,0.95377
1073.36,0.95276
1081.18,0.95177
1088.99,0.95079
1096.81,0.94981
1104.62,0.94884
1112.44,0.94788
1120.25,0.94693
1128.07,0.94598
1135.88,0.94505
1143.70,0.94412
1151.51,0.94320
1159.33,0.94230
1167.14,0.94140
1174.96,0.94050
1182.77,0.93962
1190.59,0.93875
1198.40,0.93788
1206.22,0.93703
1214.03,0.93618
1221.85,0.93534
1229.66,0.93451
1237.48,0.93369
1245.29,0.93288
1253.11,0.93207
1260.92,0.93127
1268.74,0.93048
1276.56,0.92970
1284.37,0.92893
1292.18,0.92817
1300.00,0.92741
