342.55326,99.9518
346.80858,93.51
353.19156,81.8732
363.82986,67.535
365.95752,63.379
370.21284,56.5216
374.46816,55.6904
376.59582,53.8202
385.10646,49.6642
393.6171,45.3004
400.00008,40.521
421.27668,33.6636
440.42562,28.053
455.31924,23.897
461.70222,21.4034
491.48946,16.2084
500.0001,15.585
576.59586,8.9354
623.40438,6.6496
625.53204,6.234
659.5746,4.9872
702.1278,3.7404
712.7661,4.5716
714.89376,4.9872
717.02142,7.0652
731.91504,3.9482
778.72356,2.4936
789.36186,2.078
812.76612,2.4936
825.53208,2.078
836.17038,1.4546
863.82996,3.3248
872.3406,5.6106
887.23422,3.3248
889.36188,3.117
895.74486,3.117
897.87252,6.4418
927.65976,13.9226
934.04274,48.0018
936.1704,67.3272
940.42572,73.5612
940.42572,73.5612
951.06402,48.0018
961.70232,16.624
1004.25552,6.4418
1006.38318,6.8574
1061.70234,8.312
1082.97894,11.6368
1087.23426,12.2602
1089.36192,12.2602
1091.48958,12.2602
1097.87256,12.2602
1108.51086,14.1304
1112.76618,14.7538
1123.40448,15.1694
1123.40448,15.585
1134.04278,17.8708
1134.04278,18.0786
1138.2981,17.4552
1146.80874,16.8318
1151.06406,16.624
1155.31938,17.663
1163.83002,17.8708
1170.213,17.663
1174.46832,17.8708
1189.36194,24.7282
1193.61726,24.3126
1206.38322,29.7154
1208.51088,30.9622
1225.53216,51.3266
1231.91514,83.5356
1231.91514,88.315
1231.91514,100.1596
1234.0428,99.9518
1234.0428,100.9908
1242.55344,125.3034
1257.44706,100.1596
1259.57472,100.3674
1261.70238,92.2632
1261.70238,84.159
1263.83004,84.7824
1265.9577,83.5356
1270.21302,74.808
1270.21302,76.2626
1276.596,71.0676
1276.596,69.8208
1280.85132,68.574
1289.36196,68.7818
1297.8726,68.9896
1306.38324,77.3016
1310.63856,79.3796
1312.76622,82.081
1319.1492,94.9646
1321.27686,99.744
1321.27686,100.783
